Date,Time,DateTime,Temp_Box,Hum_Box,Temp_Easy_285,Hum_Easy_285,Temp_285,Hum_285,Treatment
2021-08-03,0:00:00,03/08/21 00:00,19.83333333,47,28,50.41666667,35,52.33333333,0
2021-08-03,1:00:00,03/08/21 01:00,19,50,27.91666667,52.16666667,35,51.66666667,0
2021-08-03,2:00:00,03/08/21 02:00,18.5,53.33333333,27.58333333,53.33333333,35,52.5,0
2021-08-03,3:00:00,03/08/21 03:00,18,55.66666667,27.16666667,55.66666667,35,52.16666667,0
2021-08-03,4:00:00,03/08/21 04:00,17.33333333,58.83333333,27,55.91666667,35,51,0
2021-08-03,5:00:00,03/08/21 05:00,17.33333333,59.33333333,27.08333333,58.75,35,53,0
2021-08-03,6:00:00,03/08/21 06:00,16.83333333,62.83333333,27.41666667,62.66666667,35,53.33333333,0
2021-08-03,7:00:00,03/08/21 07:00,21,54.83333333,28.25,67.83333333,35,55.6,0
2021-08-03,8:00:00,03/08/21 08:00,28.33333333,39.5,31.25,62.25,36,55,0
2021-08-03,9:00:00,03/08/21 09:00,32,32.83333333,34.25,56.25,36,52.6,0
2021-08-03,10:00:00,03/08/21 10:00,34.5,28.83333333,36.66666667,46,36.5,49.5,0
2021-08-03,11:00:00,03/08/21 11:00,36.33333333,24.66666667,38.41666667,36.33333333,37,50.83333333,0
2021-08-03,12:00:00,03/08/21 12:00,38,21.66666667,39.33333333,32.83333333,37,46,0
2021-08-03,13:00:00,03/08/21 13:00,39.5,19.83333333,39.66666667,33.91666667,36.83333333,48.16666667,0
2021-08-03,14:00:00,03/08/21 14:00,40,22.5,39.66666667,37.75,37,47.83333333,0
2021-08-03,15:00:00,03/08/21 15:00,41.33333333,20.16666667,38.91666667,42.41666667,37,52.5,0
2021-08-03,16:00:00,03/08/21 16:00,40.66666667,21.16666667,37.83333333,41.08333333,36.16666667,49.5,0
2021-08-03,17:00:00,03/08/21 17:00,38.33333333,19.33333333,36.41666667,36.75,35.83333333,47.16666667,0
2021-08-03,18:00:00,03/08/21 18:00,35.66666667,25.5,35,41.25,35.33333333,45.66666667,0
2021-08-03,19:00:00,03/08/21 19:00,31.16666667,31.16666667,34.08333333,43,35.83333333,49.66666667,0
2021-08-03,20:00:00,03/08/21 20:00,28,37.66666667,31.83333333,48.08333333,35.5,46.83333333,0
2021-08-03,21:00:00,03/08/21 21:00,25.5,44.33333333,31.08333333,52.33333333,35.16666667,50.5,0
2021-08-03,22:00:00,03/08/21 22:00,23,49.5,30.5,54.41666667,35,51.5,0
2021-08-03,23:00:00,03/08/21 23:00,22,55.33333333,30,53.41666667,35.16666667,51.66666667,0
2021-08-05,0:00:00,05/08/21 00:00,24,42.66666667,21.25,65.83333333,35,52.16666667,1
